xxxx;;;;;;;;;;;;;;x
social_liberal_POL;波兰基督教民主党;PSChD;PSChD;;PSChD;;;;;;;;;;x
social_democrat_POL;波兰社会党;PPS;PPS;;PPS;;;;;;;;;;x
left_wing_radical_POL;波兰社会党-左翼;PPS-L;PPS-L;;PPS-L;;;;;;;;;;x
leninist_POL;NPR;NPR;NPR;;NPR;;;;;;;;;;x
stalinist_POL;共产主义工人党;KPRP;KPRP;;KPRP;;;;;;;;;;x
national_socialist_POR;国社党;PNSP;PNSP;;PNSP;;;;;;;;;;x
fascistic_POR;MNS;MNS;MNS;;MNS;;;;;;;;;;x
paternal_autocrat_POR;民族联盟;Uni?o Nacional;Uni?o Nacional;;Uni?o Nacional;;;;;;;;;;x
social_conservative_POR;PNR;PNR;PNR;;PNR;;;;;;;;;;x
market_liberal_POR;民主党;PD;PD;;PD;;;;;;;;;;x
social_liberal_POR;社民党;PSD;PSD;;PSD;;;;;;;;;;x
social_democrat_POR;社会党;PS;PS;;PS;;;;;;;;;;x
left_wing_radical_POR;PRP;PRP;PRP;;PRP;;;;;;;;;;x
leninist_POR;FMP;FMP;FMP;;FMP;;;;;;;;;;x
stalinist_POR;波兰共产党;PCP;PCP;;PCP;;;;;;;;;;x
national_socialist_PRK;国社党;Parti national socialiste ;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_PRK;法西斯主义阵线;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_PRK;民主共和党;Parti républicain démocratique;Demokratische Republikanerpartei;;Partido Democrático Republicano;;;;;;;;;;x
social_conservative_PRK;民主正义党;Parti de la justice démocratique;Demokratische Gerechtigkeitspartei;;Partido de la Justicia Democrática;;;;;;;;;;x
market_liberal_PRK;自由党;Parti libéral ;Liberale Partei;;Partido Liberal;;;;;;;;;;x
social_liberal_PRK;民主党;Parti démocratique ;Demokratische Partei;;Partido Demócrata;;;;;;;;;;x
social_democrat_PRK;民主劳动党;Parti travailliste démocratique;Demokratische Arbeiterpartei;;Partido Demócrata Laborista;;;;;;;;;;x
left_wing_radical_PRK;朝鲜人民党;Parti du peuple coréen;Koreanische Volkspartei;;Partido del Pueblo de Corea;;;;;;;;;;x
leninist_PRK;朝鲜共产党;Parti communiste coréen;Kommunistische Partei Koreas;;Partido Comunista de Corea;;;;;;;;;;x
stalinist_PRK;朝鲜工人党;Parti des travailleurs coréens;Koreanische Arbeiterpartei;;Partido de los Trabajadores de Corea;;;;;;;;;;x
national_socialist_PRU;国家社会主义运动;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_PRU;秘鲁长枪党;Falange del Perú;Falange del Perú;;Falange del Perú;;;;;;;;;;x
paternal_autocrat_PRU;公民党;Partido Civil;Partido Civil;;Partido Civil;;;;;;;;;;x
social_conservative_PRU;人民行动党;Acción Popular;Acción Popular;;Acción Popular;;;;;;;;;;x
market_liberal_PRU;秘鲁自由党;Partido Liberal del Perú;Partido Liberal del Perú;;Partido Liberal del Perú;;;;;;;;;;x
social_liberal_PRU;美洲人革命联盟;Alianza Popular Revolucionaria Americana;Alianza Popular Revolucionaria Americana;;Alianza Popular Revolucionaria Americana;;;;;;;;;;x
social_democrat_PRU;秘鲁社会党;Partido Socialista del Perú;Partido Socialista del Perú;;Partido Socialista del Perú;;;;;;;;;;x
left_wing_radical_PRU;工人革命党;Partido Revolucionario de los Trabajadores;Partido Revolucionario de los Trabajadores;;Partido Revolucionario de los Trabajadores;;;;;;;;;;x
leninist_PRU;马克思劳动集团;Gruppo Marxista de los Trabajadores;Gruppo Marxista de los Trabajadores;;Gruppo Marxista de los Trabajadores;;;;;;;;;;x
stalinist_PRU;秘鲁共产党;Partido Comunista Peruano;Partido Comunista Peruano;;Partido Comunista Peruano;;;;;;;;;;x
national_socialist_ROM;PGR;PGR;PGR;;PGR;;;;;;;;;;x
fascistic_ROM;铁卫队;Garda de Fier;Garda de Fier;;Garda de Fier;;;;;;;;;;x
paternal_autocrat_ROM;民族复兴阵线;FRN;FRN;;FRN;;;;;;;;;;x
social_conservative_ROM;PNC;PNC;PNC;;PNC;;;;;;;;;;x
market_liberal_ROM;民族自由党;PNL;PNL;;PNL;;;;;;;;;;x
social_liberal_ROM;PNT;PNT;PNT;;PNT;;;;;;;;;;x
social_democrat_ROM;罗马尼亚社会民主党;PSDR;PSDR;;PSDR;;;;;;;;;;x
left_wing_radical_ROM;社会民主党;PSDI;PSDI;;PSDI;;;;;;;;;;x
leninist_ROM;社会党;PSR;PSR;;PSR;;;;;;;;;;x
stalinist_ROM;共产党;PCR;PCR;;PCR;;;;;;;;;;x
national_socialist_RSI;国家社会主义爱尔兰工人党;NSIWP;NSIWP;;NSIWP;;;;;;;;;;x
fascistic_RSI;爱尔兰法西斯;PFR;PFR;;PFR;;;;;;;;;;x
paternal_autocrat_RSI;ANI;ANI;ANI;;ANI;;;;;;;;;;x
social_conservative_RSI;IPP;IPP;IPP;;IPP;;;;;;;;;;x
market_liberal_RSI;PRI;PRI;PRI;;PRI;;;;;;;;;;x
social_liberal_RSI;ARV;ARV;ARV;;ARV;;;;;;;;;;x
social_democrat_RSI;PSU;PSU;PSU;;PSU;;;;;;;;;;x
left_wing_radical_RSI;FN;FN;FN;;FN;;;;;;;;;;x
leninist_RSI;PTI;PTI;PTI;;PTI;;;;;;;;;;x
stalinist_RSI;PCI;PCI;PCI;;PCI;;;;;;;;;;x
national_socialist_SAL;国家社会主义运动;Moviemento de Nacional Socialista;Moviemento de Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_SAL;萨尔瓦多长枪党;Falange de El Salvador;Falange de El Salvador;;Falange de El Salvador;;;;;;;;;;x
paternal_autocrat_SAL;民族党;Partido Nacional;Partido Nacional;;Partido Nacional;;;;;;;;;;x
social_conservative_SAL;民族主义共和联盟;ARENA;ARENA;;ARENA;;;;;;;;;;x
market_liberal_SAL;民族自由党;Partido Nacional Liberal;Partido Nacional Liberal;;Partido Nacional Liberal;;;;;;;;;;x
social_liberal_SAL;民主联合中心;Centro Democrático Unido;Centro Democrático Unido;;Centro Democrático Unido;;;;;;;;;;x
social_democrat_SAL;社会民主党;Partido Social Demócrata;Partido Social Demócrata;;Partido Social Demócrata;;;;;;;;;;x
left_wing_radical_SAL;FMLN;FMLN;FMLN;;FMLN;;;;;;;;;;x
leninist_SAL;人民革命军;Ejército Revolucionario del Pueblo;Ejército Revolucionario del Pueblo;;Ejército Revolucionario del Pueblo;;;;;;;;;;x
stalinist_SAL;萨尔瓦多共产党;Partido Comunista de El Salvador;Partido Comunista de El Salvador;;Partido Comunista de El Salvador;;;;;;;;;;x
national_socialist_SAU;阿拉伯国社党;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista árabe;;;;;;;;;;x
fascistic_SAU;阿拉伯法西斯主义阵线;Front fasciste arabe;Faschistische Front Arabiens;;Frente Fascista árabe;;;;;;;;;;x
paternal_autocrat_SAU;The Sauds;Les Saouds;Die Saudis;;Los Sauds;;;;;;;;;;x
social_conservative_SAU;穆斯林兄弟会;Les frères musulmans;Muslimische Bruderschaft;;Hermanos Musulmanes;;;;;;;;;;x
market_liberal_SAU;改革党;Parti réformiste;Reformpartei;;Partido Reformista;;;;;;;;;;x
social_liberal_SAU;阿拉伯民主联盟党 ;Parti unioniste démocrate arabe;Demokratische Einheitspartei Arabiens;;Partido árabe Unionista Democrático ;;;;;;;;;;x
social_democrat_SAU;阿拉伯社会主义联盟;Union socialiste arabe;Sozialistische Union Arabiens;;Unión Socialista árabe;;;;;;;;;;x
left_wing_radical_SAU;阿拉伯 Popular Party;Parti populaire arabe;Arabische Volkspartei;;Partido Popular árabe;;;;;;;;;;x
leninist_SAU;复兴党;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x
stalinist_SAU;沙特阿拉伯共产党;Parti communiste d'Arabie Saoudite;Kommunistische Partei Saudi-Arabiens;;Partido Comunista de Arabia Saudí;;;;;;;;;;x
national_socialist_SCH;联邦自由党;Eidgen?ssische Sammlung;Eidgen?ssische Sammlung;;Eidgen?ssische Sammlung;;;;;;;;;;x
fascistic_SCH;NF;NF;NF;;NF;;;;;;;;;;x
paternal_autocrat_SCH;KKP;KKP;KKP;;KKP;;;;;;;;;;x
social_conservative_SCH;BGB;BGB;BGB;;BGB;;;;;;;;;;x
market_liberal_SCH;LPS;LPS;LPS;;LPS;;;;;;;;;;x
social_liberal_SCH;FDP;FDP;FDP;;FDP;;;;;;;;;;x
social_democrat_SCH;SP;SP;SP;;SP;;;;;;;;;;x
left_wing_radical_SCH;FSS;FSS;FSS;;FSS;;;;;;;;;;x
leninist_SCH;KPS-O;KPS-O;KPS-O;;KPS-O;;;;;;;;;;x
stalinist_SCH;KPS;KPS;KPS;;KPS;;;;;;;;;;x
national_socialist_SIA;国社党;Parti national socialiste ;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_SIA;法西斯主义阵线;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_SIA;Khana Ratsadon;Khana Ratsadon;Khana Ratsadon;;Khana Ratsadon;;;;;;;;;;x
social_conservative_SIA;民主党;Parti démocrate;Demokratische Partei;;Partido Demócrata;;;;;;;;;;x
market_liberal_SIA;自由党;Parti libéral ;Liberale Partei;;Partido Liberal;;;;;;;;;;x
social_liberal_SIA;Khabuankarn Seri Thai;Khabuankarn Seri Thai;Khabuankarn Seri Thai;;Khabuankarn Seri Thai;;;;;;;;;;x
social_democrat_SIA;社会民主党;Parti social démocrate;Sozialdemokratische Partei;;Partido Socialdemócrata;;;;;;;;;;x
left_wing_radical_SIA;革命党;Parti révolutionnaire;Revolutionspartei;;Partido Revolucionario;;;;;;;;;;x
leninist_SIA;工农党;Parti des travailleurs et des paysans;Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos;;;;;;;;;;x
stalinist_SIA;暹罗共产党;Parti communiste du Siam;Kommunistische Partei Siams;;Partido Comunista de Siam;;;;;;;;;;x
national_socialist_SIK;国社党;Parti national socialiste ;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_SIK;法西斯主义阵线;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_SIK;国家党;Parti national;Nationalpartei;;Partido Nacional;;;;;;;;;;x
social_conservative_SIK;保守党;Parti conservateur;Konservative Partei;;Partido Conservador;;;;;;;;;;x
market_liberal_SIK;自由党;Parti libéral ;Liberale Partei;;Partido Liberal;;;;;;;;;;x
social_liberal_SIK;社会自由党;Parti social libéral;Sozialliberale Partei;;Partido Social Liberal;;;;;;;;;;x
social_democrat_SIK;社会民主党;Parti social démocrate;Sozialdemokratische Partei;;Partido Socialdemócrata;;;;;;;;;;x
left_wing_radical_SIK;革命党;Parti révolutionnaire;Revolutionspartei;;Partido Revolucionario;;;;;;;;;;x
leninist_SIK;工农党;Parti des travailleurs et des paysans;Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos;;;;;;;;;;x
stalinist_SIK;新疆共产党;Parti communiste de Sinkiang;Kommunistische Partei Xinjiangs;;Partido Comunista de Xinjiang;;;;;;;;;;x
national_socialist_SLO;希宁卡卫队;Hlinkova garda;Hlinkova garda;;Hlinkova garda;;;;;;;;;;x
fascistic_SLO;希宁卡斯洛伐克独立党;Hlinkova slovenská Iudová strana;Hlinkova slovenská Iudová strana;;Hlinkova slovenská Iudová strana;;;;;;;;;;x
paternal_autocrat_SLO;斯洛伐克民族党;Slovenská národná strana;Slovenská národná strana;;Slovenská národná strana;;;;;;;;;;x
social_conservative_SLO;Freedom;Strana slobody;Strana slobody;;Strana slobody;;;;;;;;;;x
market_liberal_SLO;自由党;Liberalna stranka;Liberalna stranka;;Liberalna stranka;;;;;;;;;;x
social_liberal_SLO;民主党;Demokratska stranka;Demokratska stranka;;Demokratska stranka;;;;;;;;;;x
social_democrat_SLO;斯洛伐克社会民主党;Sociálnodemokratická strana Slovenska;Sociálnodemokratická strana Slovenska;;Sociálnodemokratická strana Slovenska;;;;;;;;;;x
left_wing_radical_SLO;工党;Strana práce;Strana práce;;Strana práce;;;;;;;;;;x
leninist_SLO;斯洛伐克复兴党;Strana slovenskej obrody;Strana slovenskej obrody;;Strana slovenskej obrody;;;;;;;;;;x
stalinist_SLO;斯洛伐克共产党;Komunistická strana Slovenska;Komunistická strana Slovenska;;Komunistická strana Slovenska;;;;;;;;;;x
national_socialist_SOV;POA;POA;POA;;POA;;;;;;;;;;x
fascistic_SOV;俄罗斯社会连带主义民族联盟;NTS;NTS;;NTS;;;;;;;;;;x
paternal_autocrat_SOV;ROA;ROA;ROA;;ROA;;;;;;;;;;x
social_conservative_SOV;十月党;Octobrist;Octobrist;;Octobrist;;;;;;;;;;x
market_liberal_SOV;立宪民主党;Kadets;Kadets;;Kadets;;;;;;;;;;x
social_liberal_SOV;工党;Trudoviks;Trudoviks;;Trudoviks;;;;;;;;;;x
social_democrat_SOV;社会革命党;Parti socialiste-révolutionnaire;Sozialistische Revolutionspartei;;Partido Social Revolucionario ;;;;;;;;;;x
left_wing_radical_SOV;布派反革命;Contre-révolutionnaires bukharinites;Bukharinite Konterrevolution?re;;Contrarrevolucionarios Bukharinitas;;;;;;;;;;x
leninist_SOV;托派反革命;Contre-révolutionnaires trotskytes;Trotskyite Konterrevolution?re;;Contrarrevolucionarios Trotskistas;;;;;;;;;;x
stalinist_SOV;共产党;Parti communiste ;Kommunistische Partei;;Partido Comunista;;;;;;;;;;x
national_socialist_SPA;传统长枪党;Falange Tradicionalista;Falange Tradicionalista;;Falange Tradicionalista;;;;;;;;;;x
fascistic_SPA;长枪党;Falange;Falange;;Falange;;;;;;;;;;x
paternal_autocrat_SPA;传统宗教;Communion Tradicionalista;Communion Tradicionalista;;Comunión Tradicionalista;;;;;;;;;;x
social_conservative_SPA;自治联盟;Confederacion de Derechas Autonomas;Confederacion de Derechas Autonomas;;Confederación de Derechas Autónomas;;;;;;;;;;x
market_liberal_SPA;共和联盟;Union Republicana;Union Republicana;;Unión Republicana;;;;;;;;;;x
social_liberal_SPA;左翼共和党 ;Izquierda Republicana ;Izquierda Republicana ;;Izquierda Republicana ;;;;;;;;;;x
social_democrat_SPA;西班牙社会工人党 ;Partido Socialista Obrero de Espana ;Partido Socialista Obrero de Espana ;;Partido Socialista Obrero de Espa?a ;;;;;;;;;;x
left_wing_radical_SPA;国家工人联合;Confederacion Nacional de Trabajo;Confederacion Nacional de Trabajo;;Confederación Nacional de Trabajo;;;;;;;;;;x
leninist_SPA;马克思主义联合工人党 ;Parti do Obrero de Unification Marxista ;Parti do Obrero de Unification Marxista ;;Partido Obrero de Unification Marxista ;;;;;;;;;;x
stalinist_SPA;西班牙共产党;Partido Communista de Espana;Partido Communista de Espana;;Partido Comunista de Espa?a;;;;;;;;;;x
national_socialist_SPR;传统长枪党;Falange Tradicionalista;Falange Tradicionalista;;Falange Tradicionalista;;;;;;;;;;x
fascistic_SPR;长枪党;Falange;Falange;;Falange;;;;;;;;;;x
paternal_autocrat_SPR;传统宗教;Communion Tradicionalista;Communion Tradicionalista;;Comunión Tradicionalista;;;;;;;;;;x
social_conservative_SPR;自治联盟;Confederacion de Derechas Autonomas;Confederacion de Derechas Autonomas;;Confederación de Derechas Autónomas;;;;;;;;;;x
market_liberal_SPR;共和联盟;Union Republicana;Union Republicana;;Unión Republicana;;;;;;;;;;x
social_liberal_SPR;左翼共和党;Izquierda Republicana ;Izquierda Republicana ;;Izquierda Republicana ;;;;;;;;;;x
social_democrat_SPR;西班牙社会工人党;Partido Socialista Obrero de Espana ;Partido Socialista Obrero de Espana ;;Partido Socialista Obrero de Espa?a ;;;;;;;;;;x
left_wing_radical_SPR;国家工人联合;Confederacion Nacional de Trabajo;Confederacion Nacional de Trabajo;;Confederación Nacional de Trabajo;;;;;;;;;;x
leninist_SPR;马克思主义联合工人党;Parti do Obrero de Unification Marxista ;Parti do Obrero de Unification Marxista ;;Partido Obrero de Unification Marxista ;;;;;;;;;;x
stalinist_SPR;西班牙共产党;Partido Communista de Espana;Partido Communista de Espana;;Partido Comunista de Espa?a;;;;;;;;;;x
national_socialist_SYR;阿拉伯国社党;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista árabe;;;;;;;;;;x
fascistic_SYR;阿拉伯法西斯主义阵线;Front fasciste arabe;Faschistische Front Arabiens;;Frente Fascista árabe;;;;;;;;;;x
paternal_autocrat_SYR;哈桑王族;Les Hachémites;Die Hashemiten;;Los Hashemitas;;;;;;;;;;x
social_conservative_SYR;穆斯林兄弟会;Frères musulmans;Muslimische Bruderschaft;;Hermanos Musulmanes;;;;;;;;;;x
market_liberal_SYR;改革党;Parti réformiste;Reformpartei;;Partido Reformista;;;;;;;;;;x
social_liberal_SYR;阿拉伯民主联盟党 ;Parti unioniste démocratique arabe;Demokratische Einheitspartei Arabiens;;Partido árabe Unionista Democrático ;;;;;;;;;;x
social_democrat_SYR;阿拉伯社会主义联盟;Union socialiste arabe;Sozialistische Union Arabiens;;Unión Socialista árabe;;;;;;;;;;x
left_wing_radical_SYR;阿拉伯工人党;Parti des travailleurs arabes;Arabischer Arbeiterpartei;;Partido de los Trabajadores árabes;;;;;;;;;;x
leninist_SYR;复兴党;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x
stalinist_SYR;叙利亚共产党;Parti communiste syrien;Kommunistische Partei Syriens;;Partido Comunista de Siria;;;;;;;;;;x
national_socialist_SWE;国家社会主义工人党;Nationalsocialistiska Arbetarepartiet;Nationalsocialistiska Arbetarepartiet;;Nationalsocialistiska Arbetarepartiet;;;;;;;;;;x
fascistic_SWE;国家社会主义产业工人联盟;SFKO;SFKO;;SFKO;;;;;;;;;;x
paternal_autocrat_SWE;瑞典民族同盟;Sveriges Nationella F?rbund;Sveriges Nationella F?rbund;;Sveriges Nationella F?rbund;;;;;;;;;;x
social_conservative_SWE;右翼党派;H?gerpartiet;H?gerpartiet;;H?gerpartiet;;;;;;;;;;x
market_liberal_SWE;自由党;Liberalerna;Liberalerna;;Liberalerna;;;;;;;;;;x
social_liberal_SWE;中央党;Bondef?rbundet;Bondef?rbundet;;Bondef?rbundet;;;;;;;;;;x
social_democrat_SWE;社会民主党;Social Demokraterna;Social Demokraterna;;Social Demokraterna;;;;;;;;;;x
left_wing_radical_SWE;社会党;Socialistiska Partiet;Socialistiska Partiet;;Socialistiska Partiet;;;;;;;;;;x
leninist_SWE;左翼社会党;V?nstersocialistiska Partiet;V?nstersocialistiska Partiet;;V?nstersocialistiska Partiet;;;;;;;;;;x
stalinist_SWE;瑞典共产党;Sveriges Kommunistiska Parti;Sveriges Kommunistiska Parti;;Sveriges Kommunistiska Parti;;;;;;;;;;x
national_socialist_TAN;国社党;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_TAN;法西斯主义阵线;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_TAN;图瓦民族党;Parti national de Touva;Nationalpartei Tuwan;;Partido Nacional Tuvano;;;;;;;;;;x
social_conservative_TAN;保守党;Parti conservateur;Konservative Partei;;Partido Conservador;;;;;;;;;;x
market_liberal_TAN;自由联盟;Union libérale;Liberale Union;;Unión Liberal;;;;;;;;;;x
social_liberal_TAN;社会自由党;Parti social libéral;Sozialliberale Partei;;Partido Social Liberal;;;;;;;;;;x
social_democrat_TAN;社会民主党;Parti social démocratique;Sozialdemokratische Partei;;Partido Socialdemócrata;;;;;;;;;;x
left_wing_radical_TAN;社会革命党;Parti social révolutionnaire;Soziale Revolutionspartei;;Partido Social Revolucionario;;;;;;;;;;x
leninist_TAN;社会工人党;Parti des travailleurs socialistes;Sozialistische Arbeiterpartei;;Partido de los Trabajadores Socialistas;;;;;;;;;;x
stalinist_TAN;图瓦人民革命党;Parti populaire révolutionnaire de Touva;Revolutionspartei des tuwanischen Volkes;;Partido Revolucionario del Pueblo Tuvano;;;;;;;;;;x
national_socialist_TIB;国社党;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_TIB;法西斯主义阵线;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_TIB;格鲁派;Gelug-pa;Gelug-pa;;Gelug-pa;;;;;;;;;;x
social_conservative_TIB;宁玛派;Nyingma;Nyingma;;Nyingma;;;;;;;;;;x
market_liberal_TIB;自由党;Parti libéral ;Liberale Partei;;Partido Liberal;;;;;;;;;;x
social_liberal_TIB;社会自由党;Parti social libéral;Sozialliberale Partei;;Partido Social Liberal;;;;;;;;;;x
social_democrat_TIB;社会民主党;Parti social démocrate;Sozialdemokratische Partei;;Partido Socialdemócrata;;;;;;;;;;x
left_wing_radical_TIB;革命党;Parti révolutionnaire;Revolutionspartei;;Partido Revolucionario;;;;;;;;;;x
leninist_TIB;工农党;Parti des travailleurs et des paysans;Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos;;;;;;;;;;x
stalinist_TIB;西藏共产党;Parti communiste tibétain;Kommunistische Partei Tibets;;Partido Comunista del Tíbet;;;;;;;;;;x
national_socialist_TUR;唯心主义运动;ülkücü Hareket;ülkücü Hareket;;ülkücü Hareket;;;;;;;;;;x
fascistic_TUR;灰狼党;Bozkurtlar;Bozkurtlar;;Bozkurtlar;;;;;;;;;;x
paternal_autocrat_TUR;共和人民党;Cumhuriyet Halk Partisi;Cumhuriyet Halk Partisi;;Cumhuriyet Halk Partisi;;;;;;;;;;x
social_conservative_TUR;民族党;Millet Partisi;Millet Partisi;;Millet Partisi;;;;;;;;;;x
market_liberal_TUR;民主党;Demokrat Parti;Demokrat Parti;;Demokrat Parti;;;;;;;;;;x
social_liberal_TUR;自由共和党;Serbest Cumhuriyet Partisi;Serbest Cumhuriyet Partisi;;Serbest Cumhuriyet Partisi;;;;;;;;;;x
social_democrat_TUR;土耳其工人党;Türkiye Is?i Partisi;Türkiye Is?i Partisi;;Türkiye Is?i Partisi;;;;;;;;;;x
left_wing_radical_TUR;工党;Emek Partisi;Emek Partisi;;Emek Partisi;;;;;;;;;;x
leninist_TUR;革命社会工人党;FMP;Devrimci Sosyalist Is?i Partisi;;FMP;;;;;;;;;;x
stalinist_TUR;土耳其共产党;PCP;Türkiye Komünist Partisi;;PCP;;;;;;;;;;x
national_socialist_URU;国家社会主义运动;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_URU;乌拉圭长枪党;Falange del Uruguay;Falange del Uruguay;;Falange del Uruguay;;;;;;;;;;x
paternal_autocrat_URU;红党,;Partido Colorado,;Partido Colorado,;;Partido Colorado;;;;;;;;;;x
social_conservative_URU;保守党;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;;x
market_liberal_URU;自由党;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;;x
social_liberal_URU;白党;Partido Blanco;Partido Blanco;;Partido Blanco;;;;;;;;;;x
social_democrat_URU;乌拉圭社会党;Partido Socialista del Uruguay;Partido Socialista del Uruguay;;Partido Socialista del Uruguay;;;;;;;;;;x
left_wing_radical_URU;大众参与运动;Movimiento de Participación Popular;Movimiento de Participación Popular;;Movimiento de Participación Popular;;;;;;;;;;x
leninist_URU;工党;Partido Obrero;Partido Obrero;;Partido Obrero;;;;;;;;;;x
stalinist_URU;乌拉圭共产党;Partido Comunista del Uruguay;Partido Comunista del Uruguay;;Partido Comunista del Uruguay;;;;;;;;;;x
national_socialist_USA;德美同盟;Fédération germano-américaine;German-American Bund;;Grupo Germano-americano;;;;;;;;;;x
fascistic_USA;银衫军;Légion d'argent américaine;Silver Legion of America;;Legión Plateada de América;;;;;;;;;;x
paternal_autocrat_USA;美国第一委员会;Premier comité américain;America First Committee;;Primer Comité de América;;;;;;;;;;x
social_conservative_USA;共和党;Parti républicain;Republican Party;;Partido Republicano;;;;;;;;;;x
market_liberal_USA;进步党;Parti progressiste;Progressive Party;;Partido Progresista;;;;;;;;;;x
social_liberal_USA;民主党;Parti démocrate;Democrat Party;;Partido Demócrata;;;;;;;;;;x
social_democrat_USA;民主农业劳动党;Parti démocratique agricole et travailliste;Democratic Farm-Labor Party;;Partido Democrático Laborista Campesino;;;;;;;;;;x
left_wing_radical_USA;社会党;Parti socialiste;Socialist Party;;Partido Socialista;;;;;;;;;;x
leninist_USA;社会工人党;Parti des travailleurs socialistes;Socialist Workers Party;;Partido de los Trabajadores Socialistas;;;;;;;;;;x
stalinist_USA;共产党;Parti communiste ;Communist Party;;Partido Comunista;;;;;;;;;;x
national_socialist_VEN;国家社会主义运动;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_VEN;委内瑞拉长枪党;Falange de Venezuela;Falange de Venezuela;;Falange de Venezuela;;;;;;;;;;x
paternal_autocrat_VEN;委内瑞拉社会基督教党;COPEI;COPEI;;COPEI;;;;;;;;;;x
social_conservative_VEN;保守党;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;;x
market_liberal_VEN;委内瑞拉伟大自由党;Gran Partido Liberal de Venezuela;Gran Partido Liberal de Venezuela;;Gran Partido Liberal de Venezuela;;;;;;;;;;x
social_liberal_VEN;委内瑞拉民主党;Partido Democrático Venezolano;Partido Democrático Venezolano;;Partido Democrático Venezolano;;;;;;;;;;x
social_democrat_VEN;民主行动党;Acción Democrática;Acción Democrática;;Acción Democrática;;;;;;;;;;x
left_wing_radical_VEN;共和进步党;Partido Republicano Progresista;Partido Republicano Progresista;;Partido Republicano Progresista;;;;;;;;;;x
leninist_VEN;委内瑞拉大众联盟;Unión Popular Venezolana;Unión Popular Venezolana;;Unión Popular Venezolana;;;;;;;;;;x
stalinist_VEN;委内瑞拉共产党;Partido Comunista de Venezuela;Partido Comunista de Venezuela;;Partido Comunista de Venezuela;;;;;;;;;;x
national_socialist_VIC;大众民主党;PPF;PPF;;PPF;;;;;;;;;;x
fascistic_VIC;法西斯运动;Mouvement Franciste;Mouvement Franciste;;Mouvement Franciste;;;;;;;;;;x
paternal_autocrat_VIC;法国行动党;Action Fran?aise;Action Fran?aise;;Action Fran?aise;;;;;;;;;;x
social_conservative_VIC;FR;FR;FR;;Fra;;;;;;;;;;x
market_liberal_VIC;大众共和运动;MRP;MRP;;MRP;;;;;;;;;;x
social_liberal_VIC;ARV;ARV;ARV;;ARV;;;;;;;;;;x
social_democrat_VIC;工人国际法国分社;SIFO;SIFO;;SIFO;;;;;;;;;;x
left_wing_radical_VIC;RAD;RAD;RAD;;RAD;;;;;;;;;;x
leninist_VIC;GBL;GBL;GBL;;GBL;;;;;;;;;;x
stalinist_VIC;法国共产党;PCF;PCF;;PCF;;;;;;;;;;x
national_socialist_YEM;阿拉伯国社党;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista árabe;;;;;;;;;;x
fascistic_YEM;阿拉伯法西斯主义阵线;Front fasciste arabe;Faschistische Front Arabiens;;Frente Fascista árabe;;;;;;;;;;x
paternal_autocrat_YEM;民族党;Parti national;Nationalpartei;;Partido Nacional;;;;;;;;;;x
social_conservative_YEM;穆斯林兄弟会;Frères musulmans;Muslimische Bruderschaft;;Hermanos Musulmanes;;;;;;;;;;x
market_liberal_YEM;改革党;Parti réformiste;Reformpartei;;Partido Reformista;;;;;;;;;;x
social_liberal_YEM;阿拉伯民主联盟党 ;Parti unioniste démocratique arabe;Arabische Demokratische Einheitspartei;;Partido árabe Unionista Democrático ;;;;;;;;;;x
